;symbol;p_up_target_6m;pred_up;calc_date
221;INGA.AS;0.6192082;1;2025-05-14
205;HWC;0.6180705;1;2025-05-14
210;IBOC;0.61683553;1;2025-05-14
212;IDCC;0.61581105;1;2025-05-14
213;IESC;0.61538994;1;2025-05-14
222;INTC;0.6147874;1;2025-05-14
214;IEX;0.6145756;1;2025-05-14
226;ISP.MI;0.61442864;1;2025-05-14
224;IOSP;0.6143858;1;2025-05-14
225;IRM;0.6142549;1;2025-05-14
89;CMS;0.6136965;1;2025-05-14
1;AALB.AS;0.6134911;1;2025-05-14
197;HOLX;0.61302084;1;2025-05-14
183;GT;0.61291766;1;2025-05-14
178;FULT;0.61265385;1;2025-05-14
215;IFF;0.612435;1;2025-05-14
189;HAS;0.61214745;1;2025-05-14
11;AEIS;0.611507;1;2025-05-14
5;ACHV;0.6114088;1;2025-05-14
202;HSY;0.6113548;1;2025-05-14
23;ALX;0.611084;1;2025-05-14
231;JMT.LS;0.6110747;1;2025-05-14
185;HAE;0.61062944;1;2025-05-14
207;HWKN;0.6104969;1;2025-05-14
24;AM.PA;0.6104951;1;2025-05-14
175;FORTUM.HE;0.61046326;1;2025-05-14
55;BILL.ST;0.61028844;1;2025-05-14
8;ADI;0.6102846;1;2025-05-14
93;COFB.BR;0.61001194;1;2025-05-14
20;ALG;0.60989;1;2025-05-14
34;ARE;0.609854;1;2025-05-14
44;AZZ;0.6098095;1;2025-05-14
29;ANDE;0.60978407;1;2025-05-14
85;CL;0.6097427;1;2025-05-14
203;HUH1V.HE;0.6097275;1;2025-05-14
9;ADM;0.60965914;1;2025-05-14
62;BMPS.MI;0.6095437;1;2025-05-14
186;HAFC;0.6094647;1;2025-05-14
40;AVB;0.6094228;1;2025-05-14
227;ITV.L;0.60933;1;2025-05-14
19;ALE;0.60927963;1;2025-05-14
83;CI;0.6092492;1;2025-05-14
49;BBVA.MC;0.60921663;1;2025-05-14
123;DGX;0.60898286;1;2025-05-14
25;AME;0.60895914;1;2025-05-14
18;AIV;0.6089576;1;2025-05-14
211;ICUI;0.60887235;1;2025-05-14
47;BARC.L;0.60884845;1;2025-05-14
45;BAB.L;0.6087339;1;2025-05-14
4;ABM;0.6087265;1;2025-05-14
60;BLX;0.608633;1;2025-05-14
206;HWDN.L;0.60861814;1;2025-05-14
51;BESI.AS;0.60861564;1;2025-05-14
50;BCP.LS;0.6085379;1;2025-05-14
56;BKH;0.608434;1;2025-05-14
35;ARL;0.6084339;1;2025-05-14
234;K;0.60837734;1;2025-05-14
57;BKT.MC;0.6083219;1;2025-05-14
169;FFIV;0.6082741;1;2025-05-14
46;BAMI.MI;0.60817605;1;2025-05-14
21;ALKS;0.6081356;1;2025-05-14
209;IBE.MC;0.6081053;1;2025-05-14
16;AIN;0.6080636;1;2025-05-14
54;BHE;0.6080591;1;2025-05-14
28;ANA.MC;0.60797775;1;2025-05-14
187;HAIN;0.6078124;1;2025-05-14
196;HMN;0.6077563;1;2025-05-14
61;BMED.MI;0.6077228;1;2025-05-14
200;HSBA.L;0.6076425;1;2025-05-14
7;ACNB;0.6075727;1;2025-05-14
